filename,duration,distance,average heart rate,average pace,starting time,rTSS,date
activity_11802002851.tcx,1760.0,5.62 km,146 bpm,0:05:13 mins/km,2023-08-16 12:16:32+01:00,28,2023-08-16
activity_12742682832.tcx,1396.0,5.76 km,170 bpm,0:04:02 mins/km,2023-11-15 14:32:01+00:00,37,2023-11-15
activity_9737390208.tcx,4557.0,14.15 km,157 bpm,0:05:22 mins/km,2022-10-06 09:44:59+08:00,69,2022-10-06
activity_9996006741.tcx,3683.0,12.02 km,155 bpm,0:05:06 mins/km,2022-11-18 17:38:45+11:00,62,2022-11-18
activity_9353591779.tcx,1222.0,4.02 km,157 bpm,0:05:04 mins/km,2022-08-07 09:22:13+01:00,21,2022-08-07
activity_10966338372.tcx,3895.0,12.81 km,153 bpm,0:05:04 mins/km,2023-04-23 14:16:02+01:00,66,2023-04-23
activity_11205794895.tcx,2005.0,6.26 km,155 bpm,0:05:20 mins/km,2023-05-27 08:14:30+01:00,31,2023-05-27
activity_8952614873.tcx,1146.0,4.12 km,149 bpm,0:04:39 mins/km,2022-06-04 14:50:21+01:00,23,2022-06-04
activity_9212919241.tcx,3697.0,12.5 km,161 bpm,0:04:56 mins/km,2022-07-16 08:30:22+01:00,66,2022-07-16
activity_9324935294.tcx,1537.0,4.57 km,137 bpm,0:05:36 mins/km,2022-08-02 18:43:22+01:00,32,2022-08-02
activity_11808160679.tcx,4419.0,14.09 km,144 bpm,0:05:14 mins/km,2023-08-17 06:53:13+01:00,70,2023-08-17
activity_9525488438.tcx,1388.0,4.21 km,147 bpm,0:05:30 mins/km,2022-09-02 08:45:15+01:00,20,2022-09-02
activity_9705908625.tcx,1232.0,3.92 km,153 bpm,0:05:14 mins/km,2022-10-01 08:03:23+08:00,20,2022-10-01
activity_8927368689.tcx,1066.0,3.63 km,151 bpm,0:04:53 mins/km,2022-05-31 15:46:39+01:00,19,2022-05-31
activity_9748669643.tcx,647.0,2.0 km,152 bpm,0:05:23 mins/km,2022-10-08 08:38:33+08:00,10,2022-10-08
activity_10586564265.tcx,2742.0,8.81 km,153 bpm,0:05:11 mins/km,2023-02-26 09:34:26+00:00,44,2023-02-26
activity_8826580836.tcx,3445.0,11.29 km,153 bpm,0:05:05 mins/km,2022-05-15 09:51:58+01:00,58,2022-05-15
activity_10820259389.tcx,2316.0,8.01 km,139 bpm,0:04:49 mins/km,2023-04-02 12:46:39+01:00,44,2023-04-02
activity_10852279874.tcx,5681.0,19.01 km,158 bpm,0:04:59 mins/km,2023-04-07 08:50:20+01:00,100,2023-04-07
activity_11413173911.tcx,5019.0,16.02 km,150 bpm,0:05:13 mins/km,2023-06-24 10:13:21+02:00,80,2023-06-24
activity_12112766683.tcx,4522.0,15.05 km,148 bpm,0:05:00 mins/km,2023-09-26 18:11:13+01:00,85,2023-09-26
activity_11855269806.tcx,1734.0,5.95 km,153 bpm,0:04:52 mins/km,2023-08-23 12:15:47+01:00,32,2023-08-23
activity_12532307530.tcx,1924.0,6.06 km,151 bpm,0:05:18 mins/km,2023-10-30 17:10:19+00:00,30,2023-10-30
activity_11091916098.tcx,4665.0,15.1 km,156 bpm,0:05:09 mins/km,2023-05-11 06:55:15+01:00,77,2023-05-11
activity_11965894056.tcx,3756.0,12.04 km,153 bpm,0:05:12 mins/km,2023-09-07 06:52:49+01:00,61,2023-09-07
activity_10488034164.tcx,1701.0,5.43 km,152 bpm,0:05:13 mins/km,2023-02-11 10:51:25+00:00,27,2023-02-11
activity_12610229648.tcx,6364.0,21.2 km,148 bpm,0:05:00 mins/km,2023-11-05 12:33:58+00:00,111,2023-11-05
activity_13171318219.tcx,1849.0,6.0 km,145 bpm,0:05:08 mins/km,2023-12-20 17:39:49+00:00,31,2023-12-20
activity_11951776864.tcx,3864.0,13.01 km,156 bpm,0:04:57 mins/km,2023-09-05 11:57:44+01:00,69,2023-09-05
activity_10271490503.tcx,1854.0,6.09 km,150 bpm,0:05:05 mins/km,2023-01-09 07:29:01+08:00,31,2023-01-09
activity_9370783031.tcx,3600.0,11.04 km,146 bpm,0:05:26 mins/km,2022-08-09 18:12:25+01:00,53,2022-08-09
activity_12823915973.tcx,4950.0,15.8 km,146 bpm,0:05:13 mins/km,2023-11-21 18:11:30+00:00,85,2023-11-21
activity_12295037733.tcx,3579.0,11.64 km,157 bpm,0:05:07 mins/km,2023-10-13 07:10:30+01:00,59,2023-10-13
activity_10084548494.tcx,1896.0,6.03 km,159 bpm,0:05:14 mins/km,2022-12-05 07:38:25+13:00,30,2022-12-05
activity_10836001279.tcx,4244.0,13.59 km,147 bpm,0:05:12 mins/km,2023-04-04 18:09:50+01:00,77,2023-04-04
activity_9192058763.tcx,756.0,2.46 km,143 bpm,0:05:07 mins/km,2022-07-12 19:31:03+01:00,13,2022-07-12
activity_12043078363.tcx,5261.0,17.97 km,155 bpm,0:04:53 mins/km,2023-09-17 10:07:50+01:00,96,2023-09-17
activity_8907488989.tcx,1073.0,3.52 km,145 bpm,0:05:05 mins/km,2022-05-28 09:37:47+01:00,18,2022-05-28
activity_11265283910.tcx,4719.0,14.12 km,145 bpm,0:05:34 mins/km,2023-06-04 08:25:27+02:00,66,2023-06-04
activity_8733255458.tcx,1284.0,3.81 km,135 bpm,0:05:37 mins/km,2022-04-30 12:09:48+01:00,27,2022-04-30
activity_11020838873.tcx,7235.0,23.13 km,148 bpm,0:05:13 mins/km,2023-05-01 10:36:08+01:00,116,2023-05-01
activity_8890085394.tcx,2696.0,9.27 km,156 bpm,0:04:51 mins/km,2022-05-25 13:20:45+01:00,50,2022-05-25
activity_9676757316.tcx,3830.0,12.04 km,159 bpm,0:05:18 mins/km,2022-09-26 09:02:56+08:00,59,2022-09-26
activity_9089090848.tcx,5940.0,19.17 km,151 bpm,0:05:10 mins/km,2022-06-26 08:56:16+01:00,97,2022-06-26
activity_11678034519.tcx,2087.0,6.79 km,149 bpm,0:05:07 mins/km,2023-07-30 19:14:17+01:00,35,2023-07-30
activity_11823602770.tcx,2480.0,8.24 km,143 bpm,0:05:01 mins/km,2023-08-19 09:03:10+01:00,43,2023-08-19
activity_9286141526.tcx,3651.0,12.03 km,151 bpm,0:05:03 mins/km,2022-07-27 18:15:09+01:00,62,2022-07-27
activity_12329956629.tcx,2463.0,7.47 km,147 bpm,0:05:30 mins/km,2023-10-15 16:09:31+01:00,35,2023-10-15
activity_10317164399.tcx,1984.0,6.22 km,156 bpm,0:05:19 mins/km,2023-01-16 08:26:24+08:00,31,2023-01-16
activity_11743731844.tcx,778.0,2.35 km,145 bpm,0:05:31 mins/km,2023-08-08 19:39:50+01:00,11,2023-08-08
activity_11758719150.tcx,4672.0,14.84 km,146 bpm,0:05:15 mins/km,2023-08-10 17:10:43+01:00,74,2023-08-10
activity_11710196649.tcx,3526.0,12.26 km,156 bpm,0:04:48 mins/km,2023-08-04 06:53:23+01:00,67,2023-08-04
activity_8763458874.tcx,2861.0,9.46 km,152 bpm,0:05:02 mins/km,2022-05-05 07:10:06+01:00,49,2022-05-05
activity_12777187131.tcx,6276.0,20.19 km,145 bpm,0:05:11 mins/km,2023-11-18 10:05:11+01:00,102,2023-11-18
activity_10659174112.tcx,3897.0,12.0 km,152 bpm,0:05:25 mins/km,2023-03-09 07:02:26+00:00,58,2023-03-09
activity_11455417770.tcx,2970.0,10.0 km,156 bpm,0:04:57 mins/km,2023-06-30 06:43:27+01:00,53,2023-06-30
activity_9960314982.tcx,3924.0,13.27 km,159 bpm,0:04:56 mins/km,2022-11-12 07:31:58+08:00,71,2022-11-12
activity_9866080868.tcx,2607.0,8.01 km,146 bpm,0:05:25 mins/km,2022-10-27 17:32:57+08:00,39,2022-10-27
activity_11488448304.tcx,4518.0,15.01 km,148 bpm,0:05:01 mins/km,2023-07-04 18:13:30+01:00,90,2023-07-04
activity_9363934036.tcx,1203.0,3.81 km,137 bpm,0:05:15 mins/km,2022-08-08 18:19:47+01:00,19,2022-08-08
activity_10079109116.tcx,5534.0,18.4 km,155 bpm,0:05:01 mins/km,2022-12-04 07:10:07+13:00,96,2022-12-04
activity_12788378554.tcx,2390.0,7.63 km,151 bpm,0:05:13 mins/km,2023-11-19 09:08:24+01:00,38,2023-11-19
activity_9340884166.tcx,3648.0,11.7 km,147 bpm,0:05:12 mins/km,2022-08-05 07:37:22+01:00,59,2022-08-05
activity_9193721274.tcx,2770.0,8.43 km,150 bpm,0:05:29 mins/km,2022-07-13 06:37:48+01:00,40,2022-07-13
activity_10232406471.tcx,3240.0,10.51 km,154 bpm,0:05:08 mins/km,2023-01-03 07:33:54+08:00,53,2023-01-03
activity_12994484831.tcx,4807.0,16.47 km,153 bpm,0:04:52 mins/km,2023-12-05 18:06:11+00:00,95,2023-12-05
activity_8907497072.tcx,1042.0,3.53 km,146 bpm,0:04:55 mins/km,2022-05-28 10:58:42+01:00,19,2022-05-28
activity_9897332047.tcx,1912.0,6.38 km,142 bpm,0:05:00 mins/km,2022-11-01 18:17:59+08:00,41,2022-11-01
activity_8957095291.tcx,4835.0,14.82 km,152 bpm,0:05:26 mins/km,2022-06-05 09:27:15+01:00,71,2022-06-05
activity_11418218919.tcx,2903.0,9.3 km,146 bpm,0:05:12 mins/km,2023-06-25 07:48:37+02:00,47,2023-06-25
activity_11919804121.tcx,3600.0,12.22 km,153 bpm,0:04:55 mins/km,2023-09-01 07:22:13+01:00,65,2023-09-01
